entity_id	business_name	business_address	country	name_norm	address_norm	country_norm	name_tokens	address_tokens	name_char_ngrams	address_char_ngrams	source
S3-100029474	Environmental Guild & Co		US	environmental guild and company		us	"[""environmental"",""guild"",""and"",""company""]"	[]	"[""^en"",""env"",""nvi"",""vir"",""iro"",""ron"",""onm"",""nme"",""men"",""ent"",""nta"",""tal"",""al "",""l g"","" gu"",""gui"",""uil"",""ild"",""ld "",""d a"","" an"",""and"",""nd "",""d c"","" co"",""com"",""omp"",""mpa"",""pan"",""any"",""ny$""]"	[]	S3
S3-100113285	Gajanan Films Corp	T H G Marketing Private Limited Opposite Municipal Park Road, Muktsar, Gidderbaha, PB	India	gajanan films corporation	t h g marketing private limited opposite municipal park road muktsar gidderbaha pb	india	"[""gajanan"",""films"",""corporation""]"	"[""t"",""h"",""g"",""marketing"",""private"",""limited"",""opposite"",""municipal"",""park"",""road"",""muktsar"",""gidderbaha"",""pb""]"	"[""^ga"",""gaj"",""aja"",""jan"",""ana"",""nan"",""an "",""n f"","" fi"",""fil"",""ilm"",""lms"",""ms "",""s c"","" co"",""cor"",""orp"",""rpo"",""por"",""ora"",""rat"",""ati"",""tio"",""ion"",""on$""]"	"[""^t "",""t h"","" h "",""h g"","" g "",""g m"","" ma"",""mar"",""ark"",""rke"",""ket"",""eti"",""tin"",""ing"",""ng "",""g p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed "",""d o"","" op"",""opp"",""ppo"",""pos"",""osi"",""sit"",""ite"",""te "",""e m"","" mu"",""mun"",""uni"",""nic"",""ici"",""cip"",""ipa"",""pal"",""al "",""l p"","" pa"",""par"",""ark"",""rk "",""k r"","" ro"",""roa"",""oad"",""ad "",""d m"","" mu"",""muk"",""ukt"",""kts"",""tsa"",""sar"",""ar "",""r g"","" gi"",""gid"",""idd"",""dde"",""der"",""erb"",""rba"",""bah"",""aha"",""ha "",""a p"","" pb"",""pb$""]"	S3
S3-101613543	Marlee Sievert Carolina Inc.	Maine, ##239 Tims Cove Rd, Willimantic	US	marlee sievert carolina incorporated	maine 239 tims cove rd willimantic	us	"[""marlee"",""sievert"",""carolina"",""incorporated""]"	"[""maine"",""239"",""tims"",""cove"",""rd"",""willimantic""]"	"[""^ma"",""mar"",""arl"",""rle"",""lee"",""ee "",""e s"","" si"",""sie"",""iev"",""eve"",""ver"",""ert"",""rt "",""t c"","" ca"",""car"",""aro"",""rol"",""oli"",""lin"",""ina"",""na "",""a i"","" in"",""inc"",""nco"",""cor"",""orp"",""rpo"",""por"",""ora"",""rat"",""ate"",""ted"",""ed$""]"	"[""^ma"",""mai"",""ain"",""ine"",""ne "",""e 2"","" 23"",""239"",""39 "",""9 t"","" ti"",""tim"",""ims"",""ms "",""s c"","" co"",""cov"",""ove"",""ve "",""e r"","" rd"",""rd "",""d w"","" wi"",""wil"",""ill"",""lli"",""lim"",""ima"",""man"",""ant"",""nti"",""tic"",""ic$""]"	S3
S3-101683680	alphacare.com	A 204 Sawali Co Op Hsg Soc Plot 41 Sec 5 Khacgar, New Bombay, Raigarh, महाराष्ट्र	India	alphacare com	a 204 sawali co op hsg soc plot 41 sec 5 khacgar new bombay raigarh मह र ष ट र	india	"[""alphacare"",""com""]"	"[""a"",""204"",""sawali"",""co"",""op"",""hsg"",""soc"",""plot"",""41"",""sec"",""5"",""khacgar"",""new"",""bombay"",""raigarh"",""मह"",""र"",""ष"",""ट"",""र""]"	"[""^al"",""alp"",""lph"",""pha"",""hac"",""aca"",""car"",""are"",""re "",""e c"","" co"",""com"",""om$""]"	"[""^a "",""a 2"","" 20"",""204"",""04 "",""4 s"","" sa"",""saw"",""awa"",""wal"",""ali"",""li "",""i c"","" co"",""co "",""o o"","" op"",""op "",""p h"","" hs"",""hsg"",""sg "",""g s"","" so"",""soc"",""oc "",""c p"","" pl"",""plo"",""lot"",""ot "",""t 4"","" 41"",""41 "",""1 s"","" se"",""sec"",""ec "",""c 5"","" 5 "",""5 k"","" kh"",""kha"",""hac"",""acg"",""cga"",""gar"",""ar "",""r n"","" ne"",""new"",""ew "",""w b"","" bo"",""bom"",""omb"",""mba"",""bay"",""ay "",""y r"","" ra"",""rai"",""aig"",""iga"",""gar"",""arh"",""rh "",""h म"","" मह"",""मह "",""ह र"","" र "",""र ष"","" ष "",""ष ट"","" ट "",""ट र"","" र$""]"	S3
S3-101811194	Boyd, Wt & Viner Clough	Cincinnati, Ohio, 003566 Glenwood Pl	US	boyd wt and viner clough	cincinnati ohio 003566 glenwood pl	us	"[""boyd"",""wt"",""and"",""viner"",""clough""]"	"[""cincinnati"",""ohio"",""003566"",""glenwood"",""pl""]"	"[""^bo"",""boy"",""oyd"",""yd "",""d w"","" wt"",""wt "",""t a"","" an"",""and"",""nd "",""d v"","" vi"",""vin"",""ine"",""ner"",""er "",""r c"","" cl"",""clo"",""lou"",""oug"",""ugh"",""gh$""]"	"[""^ci"",""cin"",""inc"",""nci"",""cin"",""inn"",""nna"",""nat"",""ati"",""ti "",""i o"","" oh"",""ohi"",""hio"",""io "",""o 0"","" 00"",""003"",""035"",""356"",""566"",""66 "",""6 g"","" gl"",""gle"",""len"",""enw"",""nwo"",""woo"",""ood"",""od "",""d p"","" pl"",""pl$""]"	S3
S3-101847360	5ádashivcreations.Com	B3/1203, Times Square Arcade, Opp. Rambaug, Nr, Ravija Plaza, Thaltej-shilaj Road, Tha, Ltej, Ahmedabad, GJ	India	5ádashivcreations com	b3 1203 times square arcade opp rambaug nr ravija plaza thaltej shilaj road tha ltej ahmedabad gj	india	"[""5ádashivcreations"",""com""]"	"[""b3"",""1203"",""times"",""square"",""arcade"",""opp"",""rambaug"",""nr"",""ravija"",""plaza"",""thaltej"",""shilaj"",""road"",""tha"",""ltej"",""ahmedabad"",""gj""]"	"[""^5á"",""5ád"",""áda"",""das"",""ash"",""shi"",""hiv"",""ivc"",""vcr"",""cre"",""rea"",""eat"",""ati"",""tio"",""ion"",""ons"",""ns "",""s c"","" co"",""com"",""om$""]"	"[""^b3"",""b3 "",""3 1"","" 12"",""120"",""203"",""03 "",""3 t"","" ti"",""tim"",""ime"",""mes"",""es "",""s s"","" sq"",""squ"",""qua"",""uar"",""are"",""re "",""e a"","" ar"",""arc"",""rca"",""cad"",""ade"",""de "",""e o"","" op"",""opp"",""pp "",""p r"","" ra"",""ram"",""amb"",""mba"",""bau"",""aug"",""ug "",""g n"","" nr"",""nr "",""r r"","" ra"",""rav"",""avi"",""vij"",""ija"",""ja "",""a p"","" pl"",""pla"",""laz"",""aza"",""za "",""a t"","" th"",""tha"",""hal"",""alt"",""lte"",""tej"",""ej "",""j s"","" sh"",""shi"",""hil"",""ila"",""laj"",""aj "",""j r"","" ro"",""roa"",""oad"",""ad "",""d t"","" th"",""tha"",""ha "",""a l"","" lt"",""lte"",""tej"",""ej "",""j a"","" ah"",""ahm"",""hme"",""med"",""eda"",""dab"",""aba"",""bad"",""ad "",""d g"","" gj"",""gj$""]"	S3
S3-102277272	India Ansar Project Private [Limited]	H.no 503 Silver Arch, Aprtmnt 22 Feroz Shah Rd, New Delhi, Central Delhi, DL	India	india ansar project private limited	h no 503 silver arch aprtmnt 22 feroz shah rd new delhi central delhi dl	india	"[""india"",""ansar"",""project"",""private"",""limited""]"	"[""h"",""no"",""503"",""silver"",""arch"",""aprtmnt"",""22"",""feroz"",""shah"",""rd"",""new"",""delhi"",""central"",""delhi"",""dl""]"	"[""^in"",""ind"",""ndi"",""dia"",""ia "",""a a"","" an"",""ans"",""nsa"",""sar"",""ar "",""r p"","" pr"",""pro"",""roj"",""oje"",""jec"",""ect"",""ct "",""t p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed$""]"	"[""^h "",""h n"","" no"",""no "",""o 5"","" 50"",""503"",""03 "",""3 s"","" si"",""sil"",""ilv"",""lve"",""ver"",""er "",""r a"","" ar"",""arc"",""rch"",""ch "",""h a"","" ap"",""apr"",""prt"",""rtm"",""tmn"",""mnt"",""nt "",""t 2"","" 22"",""22 "",""2 f"","" fe"",""fer"",""ero"",""roz"",""oz "",""z s"","" sh"",""sha"",""hah"",""ah "",""h r"","" rd"",""rd "",""d n"","" ne"",""new"",""ew "",""w d"","" de"",""del"",""elh"",""lhi"",""hi "",""i c"","" ce"",""cen"",""ent"",""ntr"",""tra"",""ral"",""al "",""l d"","" de"",""del"",""elh"",""lhi"",""hi "",""i d"","" dl"",""dl$""]"	S3
S3-10253337	Kirti &-Partners Limited Private	#4Th Floor, Office-419-420, Zenon, Nr. Kiran Moters, New Civil Road, Surat, Surat City, GJ	India	kirti and partners limited private	4th floor office 419 420 zenon nr kiran moters new civil road surat surat city gj	india	"[""kirti"",""and"",""partners"",""limited"",""private""]"	"[""4th"",""floor"",""office"",""419"",""420"",""zenon"",""nr"",""kiran"",""moters"",""new"",""civil"",""road"",""surat"",""surat"",""city"",""gj""]"	"[""^ki"",""kir"",""irt"",""rti"",""ti "",""i a"","" an"",""and"",""nd "",""d p"","" pa"",""par"",""art"",""rtn"",""tne"",""ner"",""ers"",""rs "",""s l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed "",""d p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te$""]"	"[""^4t"",""4th"",""th "",""h f"","" fl"",""flo"",""loo"",""oor"",""or "",""r o"","" of"",""off"",""ffi"",""fic"",""ice"",""ce "",""e 4"","" 41"",""419"",""19 "",""9 4"","" 42"",""420"",""20 "",""0 z"","" ze"",""zen"",""eno"",""non"",""on "",""n n"","" nr"",""nr "",""r k"","" ki"",""kir"",""ira"",""ran"",""an "",""n m"","" mo"",""mot"",""ote"",""ter"",""ers"",""rs "",""s n"","" ne"",""new"",""ew "",""w c"","" ci"",""civ"",""ivi"",""vil"",""il "",""l r"","" ro"",""roa"",""oad"",""ad "",""d s"","" su"",""sur"",""ura"",""rat"",""at "",""t s"","" su"",""sur"",""ura"",""rat"",""at "",""t c"","" ci"",""cit"",""ity"",""ty "",""y g"","" gj"",""gj$""]"	S3
S3-102679277	Cascade Health-Center (LLC)	313 Locke Street, Woodsboro, Texas	US	cascade health center llc	313 locke street woodsboro texas	us	"[""cascade"",""health"",""center"",""llc""]"	"[""313"",""locke"",""street"",""woodsboro"",""texas""]"	"[""^ca"",""cas"",""asc"",""sca"",""cad"",""ade"",""de "",""e h"","" he"",""hea"",""eal"",""alt"",""lth"",""th "",""h c"","" ce"",""cen"",""ent"",""nte"",""ter"",""er "",""r l"","" ll"",""llc"",""lc$""]"	"[""^31"",""313"",""13 "",""3 l"","" lo"",""loc"",""ock"",""cke"",""ke "",""e s"","" st"",""str"",""tre"",""ree"",""eet"",""et "",""t w"","" wo"",""woo"",""ood"",""ods"",""dsb"",""sbo"",""bor"",""oro"",""ro "",""o t"","" te"",""tex"",""exa"",""xas"",""as$""]"	S3
S3-102943062	Shri Shakti Private Limited Center	House No 63, Block -B Ground Floor, Parshant Vihar Rohini, Landmark Opp. C.r.p.f School, North West Delhi, New Delhi, DL	India	shri shakti private limited center	house number 63 block b ground floor parshant vihar rohini landmark opp c r p f school north west delhi new delhi dl	india	"[""shri"",""shakti"",""private"",""limited"",""center""]"	"[""house"",""number"",""63"",""block"",""b"",""ground"",""floor"",""parshant"",""vihar"",""rohini"",""landmark"",""opp"",""c"",""r"",""p"",""f"",""school"",""north"",""west"",""delhi"",""new"",""delhi"",""dl""]"	"[""^sh"",""shr"",""hri"",""ri "",""i s"","" sh"",""sha"",""hak"",""akt"",""kti"",""ti "",""i p"","" pr"",""pri"",""riv"",""iva"",""vat"",""ate"",""te "",""e l"","" li"",""lim"",""imi"",""mit"",""ite"",""ted"",""ed "",""d c"","" ce"",""cen"",""ent"",""nte"",""ter"",""er$""]"	"[""^ho"",""hou"",""ous"",""use"",""se "",""e n"","" nu"",""num"",""umb"",""mbe"",""ber"",""er "",""r 6"","" 63"",""63 "",""3 b"","" bl"",""blo"",""loc"",""ock"",""ck "",""k b"","" b "",""b g"","" gr"",""gro"",""rou"",""oun"",""und"",""nd "",""d f"","" fl"",""flo"",""loo"",""oor"",""or "",""r p"","" pa"",""par"",""ars"",""rsh"",""sha"",""han"",""ant"",""nt "",""t v"","" vi"",""vih"",""iha"",""har"",""ar "",""r r"","" ro"",""roh"",""ohi"",""hin"",""ini"",""ni "",""i l"","" la"",""lan"",""and"",""ndm"",""dma"",""mar"",""ark"",""rk "",""k o"","" op"",""opp"",""pp "",""p c"","" c "",""c r"","" r "",""r p"","" p "",""p f"","" f "",""f s"","" sc"",""sch"",""cho"",""hoo"",""ool"",""ol "",""l n"","" no"",""nor"",""ort"",""rth"",""th "",""h w"","" we"",""wes"",""est"",""st "",""t d"","" de"",""del"",""elh"",""lhi"",""hi "",""i n"","" ne"",""new"",""ew "",""w d"","" de"",""del"",""elh"",""lhi"",""hi "",""i d"","" dl"",""dl$""]"	S3
